ngram,size,n
accrual method,2,473
asset account,2,472
qualified investment,2,469
foreign tax credit,3,468
source income,2,467
stock owned,2,467
0 0 0 0,4,466
foreign loss,2,466
tax law,2,466
category income,2,465
properly allocable,2,465
decedent's death,2,464
reporting requirements,2,464
straight line,2,464
passive category,2,463
gain realized,2,462
return filed,2,462
accumulation distribution,2,460
2.5 2.5 2.5,3,459
annual compensation,2,459
consolidated net operating,3,457
unrelated business,2,456
gain recognition agreement,3,454
governmental unit,2,454
income tax liability,3,454
recognition agreement,2,454
service center,2,454
puerto rico,2,453
immediately prior,2,452
net capital loss,3,451
tax reform,2,451
personal services,2,450
survivor annuity,2,449
dividends received,2,448
loss carryovers,2,447
imputed underpayment,2,446
consolidated net operating loss,4,445
opportunity zone,2,444
u.s income tax,3,444
net earnings,2,443
accrual period,2,442
net capital gain,3,439
previously taxed,2,435
required contribution,2,434
qualified business,2,433
sale exchange,2,433
distributing corporation,2,431
foreign corporation's,2,431
qualified opportunity zone,3,430
wages paid,2,430
internal revenue bulletin,3,428
revenue bulletin,2,428
tax free,2,428
spot rate,2,427
depreciable property,2,426
matching contributions,2,426
foreign personal holding company income,5,425
t.d 6500,2,425
insurance coverage,2,424
undistributed earnings,2,424
upper tier,2,424
account holder,2,422
base company income,3,422
costs incurred,2,422
documentary evidence,2,422
foreign base company income,4,422
minimum tax,2,422
income tax returns,3,421
service recipient,2,421
corporation stock,2,419
partnership property,2,417
tax treaty,2,417
alternative minimum,2,416
capital asset,2,416
tax rate,2,416
continuation coverage,2,414
current taxable,2,414
plan assets,2,414
statement required,2,414
portion thereof,2,413
stock held,2,413
tax lien,2,411
net operating loss deduction,4,410
operating loss deduction,3,410
2.5 2.5 2.5 2.5,4,409
adjusted tax,2,407
natural gas,2,407
elective deferrals,2,406
computer software,2,405
tier partnership,2,405
distributable net,2,403
charitable contribution,2,402
distributable net income,3,401
life insurance contract,3,401
1250 property,2,399
amount received,2,399
combined voting,2,399
lump sum,2,396
compensated employees,2,394
testing period,2,394
retirement income,2,393
split dollar,2,392
accounting period,2,389
undistributed net,2,389
cobra continuation,2,387
property received,2,385
depreciable basis,2,384
net investment,2,384
elective contributions,2,383
maximum amount,2,382
reduction amount,2,382
net operating loss carryover,4,381
operating loss carryover,3,381
additional tax,2,380
virgin islands,2,380
insurance contracts,2,379
qsb stock,2,379
adjusted tax basis,3,378
deemed sale,2,376
measurement period,2,376
charitable remainder,2,375
public utility,2,375
tax treatment,2,375
excess contributions,2,374
funding standard,2,374
owned directly,2,374
profit sharing,2,374
0 0 0 0 0,5,373
operating mineral,2,373
fa stock,2,371
net unrealized,2,371
private business,2,371
return required,2,371
gain net,2,369
replacement property,2,369
loss attributable,2,368
minimum required,2,367
foreign income tax,3,366
cobra continuation coverage,3,365
entire amount,2,365
cod income,2,364
contract price,2,364
deduction allowable,2,364
withholding tax,2,364
benefit formula,2,363
possessions corporation,2,363
stock purchase,2,363
2.5 2.5 2.5 2.5 2.5,5,361
collectively bargained,2,361
hospital facility,2,361
time employee,2,361
net investment income,3,359
written notice,2,359
employer securities,2,358
attribute reduction,2,357
expenses incurred,2,357
bargaining agreement,2,356
income tax treaty,3,355
collective bargaining agreement,3,354
information reporting,2,354
tax consequences,2,354
base erosion,2,352
notional principal,2,352
written request,2,351
domestic entity,2,349
capital losses,2,348
recognized built,2,348
capital gain net,3,346
plan satisfies,2,346
additional rules,2,345
expanded affiliated,2,345
separate limitation,2,345
qualified tuition,2,344
1986 undistributed,2,343
post 1986 undistributed,3,343
qualifying investment,2,343
cdp hearing,2,342
consolidated taxable,2,342
undistributed net income,3,342
1446 tax,2,341
reasonable period,2,341
passive income,2,340
roth ira,2,340
qualified plan,2,339
backup withholding,2,338
rental agreement,2,338
stock received,2,338
technical advice,2,337
1986 undistributed earnings,3,336
dividend income,2,336
post 1986 undistributed earnings,4,336
marital deduction,2,335
partner's share,2,335
required installment,2,335
tangible personal,2,335
time employees,2,335
deduction allowed,2,334
dual resident,2,334
parent corporation,2,334
trust instrument,2,334
unrealized built,2,334
information returns,2,333
tangible personal property,3,333
gross proceeds,2,332
capital gain net income,4,331
gain net income,3,331
subdivision thereof,2,330
services rendered,2,329
additional depreciation,2,328
medical care,2,328
rules apply,2,328
consolidated taxable income,3,327
export trade,2,327
motor vehicle,2,327
allocable share,2,325
amount required,2,325
current earnings,2,324
mortality table,2,324
exploration expenditures,2,323
health insurance coverage,3,321
hedging transaction,2,321
employer identification,2,320
issuing corporation,2,320
capital assets,2,319
compensation plan,2,319
credit earned,2,319
net unrealized built,3,319
applicability dates,2,318
revenue procedure,2,318
amount deferred,2,317
expenses paid,2,317
qualified stock,2,317
employer plan,2,316
revised april,2,316
annuity contracts,2,315
average annual compensation,3,315
cost recovery,2,315
percentage depletion,2,315
personal service,2,315
employment tax,2,314
exchange gain,2,314
2.5 2.5 2.5 2.5 2.5 2.5,6,313
business taxable,2,313
deemed compliant,2,313
employee stock,2,313
payroll period,2,313
taxes deemed,2,313
combined voting power,3,312
national office,2,312
business taxable income,3,311
exempt entity,2,311
tax exempt entity,3,311
accumulated profits,2,310
tax benefit,2,310
effect prior,2,309
qualified mortgage,2,309
unrelated business taxable,3,309
unrelated business taxable income,4,309
pre change,2,308
unused credit,2,307
additional amount,2,306
business corporation,2,306
person required,2,306
deemed distribution,2,305
exchange rate,2,305
minimum required contribution,3,305
minimum gain,2,304
political subdivision thereof,3,304
redemption price,2,304
short term capital gain,4,304
attribute reduction amount,3,303
involuntary conversion,2,303
deferred compensation plan,3,302
separate line,2,302
short term capital loss,4,302
binding contract,2,301
eligible employer,2,301
percent shareholder,2,300
revenue laws,2,300
stock option,2,300
unrelated person,2,300
aggregate basis,2,299
established securities,2,299
multiemployer plan,2,299
highly compensated employees,3,298
qualified research,2,298
0 0 0 0 0 0,6,297
election applies,2,297
tax attributable,2,297
remuneration paid,2,296
tax preference,2,296
unadjusted basis,2,296
actual knowledge,2,295
controlled foreign corporations,3,295
tax due,2,295
business activity,2,294
listed transaction,2,294
service performed,2,294
credit allowed,2,293
net gain,2,293
partnership income,2,293
qualified intermediary,2,293
additional information,2,292
corporation owns,2,292
excess benefit,2,292
1245 property,2,291
assets held,2,291
total combined,2,291
acquired corporation,2,290
qualified separate,2,290
company shipping,2,289
export property,2,289
bond premium,2,288
income means,2,288
total combined voting,3,288
adjusted issue,2,287
deferred arrangement,2,287
income received,2,287
s's stock,2,287
total combined voting power,4,287
u.s branch,2,287
adjusted funding,2,286
adjusted funding target,3,286
computing taxable,2,286
negative adjustment,2,286
term contract,2,286
term life,2,286
15th day,2,285
base company shipping,3,285
foreign base company shipping,4,285
determination letter,2,284
nonqualified deferred,2,284
partnership items,2,284
263a costs,2,283
net loss,2,283
nonqualified deferred compensation,3,283
reporting corporation,2,283
benefit percentage,2,282
employee retirement,2,282
giving rise,2,282
insurance companies,2,282
taxable gifts,2,282
2008 t.d,2,281
loss recognized,2,281
short period,2,281
tax withheld,2,281
amount allowable,2,280
amount treated,2,280
gain loss,2,280
line method,2,280
percent rate,2,280
securities market,2,280
straight line method,3,280
resident corporation,2,279
taxpayer makes,2,279
adjusted issue price,3,278
eligible rollover,2,278
federal estate,2,278
rules set,2,277
single employer,2,277
weighted average,2,277
closely held,2,276
estate tax return,3,275
plan maintained,2,275
dual resident corporation,3,274
established securities market,3,274
qualified beneficiary,2,274
minimum distribution,2,273
ordinary loss,2,273
sponsoring entity,2,273
triggering event,2,273
designated beneficiary,2,271
designated roth,2,271
pension plan,2,271
basis adjustments,2,270
decedent's gross,2,269
deductions allowed,2,269
term life insurance,3,269
qualified health,2,268
withholding statement,2,268
attainment percentage,2,267
funding target attainment,3,267
funding target attainment percentage,4,267
permanent establishment,2,267
target attainment,2,267
target attainment percentage,3,267
applicable federal,2,266
contingent payment,2,266
grass roots,2,265
decedent's gross estate,3,264
partnership return,2,264
business enterprise,2,263
deemed distributed,2,263
financial statement,2,263
foreign government,2,263
foreign loss account,3,263
reasonable method,2,263
straight life,2,263
tax exempt organization,3,263
household income,2,262
income security,2,262
reportable transaction,2,262
contract costs,2,261
fresh start,2,261
retirement income security,3,261
appeals office,2,260
employee retirement income,3,260
employee retirement income security,4,260
production costs,2,260
withholdable payment,2,260
diesel fuel,2,259
disqualified persons,2,259
inventory method,2,259
magnetic media,2,259
payments received,2,259
recognize gain,2,259
gross amount,2,258
straight life annuity,3,258
computing taxable income,3,257
top heavy,2,257
utility property,2,257
federal estate tax,3,256
sales price,2,256
taxpayer elects,2,256
anti abuse,2,255
basis difference,2,255
stock outstanding,2,255
transferred property,2,255
written determination,2,255
death benefit,2,254
optional forms,2,254
deemed dividend,2,253
funding standard carryover,3,253
installment method,2,253
public inspection,2,253
standard carryover,2,253
taxable fuel,2,253
accrued benefits,2,252
corporation's taxable,2,252
federal tax purposes,3,252
asset guideline,2,251
grantor trust,2,251
income gain loss,3,251
prefunding balance,2,251
taxes deemed paid,3,251
amount payable,2,250
community property,2,250
controlled corporation,2,250
return including,2,250
accounts receivable,2,249
determined based,2,249
employment taxes,2,249
foreign subsidiary,2,249
nonfunctional currency,2,249
performing services,2,249
rehabilitation expenditures,2,249
bad debts,2,248
compensated employee,2,248
entire taxable,2,248
investment credit,2,248
property including,2,248
credit determined,2,247
health care,2,247
property means,2,247
published guidance,2,247
short sale,2,247
mortgage credit,2,246
net short,2,245
recapture property,2,245
sales income,2,245
secretary determines,2,245
substantial risk,2,245
annual accounting,2,244
complete liquidation,2,244
guideline class,2,244
qualifying event,2,244
unrelated trade,2,244
compliant ffi,2,243
deemed compliant ffi,3,243
domestic partnership,2,243
file form,2,243
loss carryback,2,243
trust created,2,243
applicable individual,2,242
death taxes,2,242
partnership representative,2,242
total gross,2,242
benefit plans,2,241
term applicable,2,241
health benefits,2,240
qualified stated,2,240
refunding issue,2,240
sum distribution,2,240
fixed rate,2,239
public utility property,3,239
hybrid deduction,2,238
positive adjustment,2,238
common control,2,237
computation period,2,237
net short term,3,237
outstanding shares,2,236
retirement account,2,236
actuarial assumptions,2,235
written agreement,2,235
business activities,2,234
capital accounts,2,234
covered employee,2,234
depreciation deductions,2,234
separate account,2,234
total contract,2,234
rules contained,2,233
unemployment compensation,2,233
annual return,2,232
nonqualified deferred compensation plan,4,232
total assets,2,232
cash receipts,2,231
insurance income,2,231
tax matters,2,231
administrative costs,2,230
dividend equivalent,2,230
essential coverage,2,230
internal revenue laws,3,230
minimum essential,2,230
minimum essential coverage,3,230
net short term capital,4,230
personal service corporation,3,230
service corporation,2,230
transferee foreign,2,230
development costs,2,229
guidance published,2,229
office building,2,229
target stock,2,229
u.s income tax return,4,229
adjusted funding target attainment,4,228
adjusted funding target attainment percentage,5,228
annual accounting period,3,228
base period,2,228
currency gain,2,228
partnership adjustment,2,228
amount included,2,227
combined taxable,2,227
rev proc,2,227
tax shown,2,227
transfers property,2,227
annual benefit,2,226
foreign countries,2,226
cafeteria plan,2,225
combined taxable income,3,225
eligible individual,2,225
life expectancy,2,225
absorption ratio,2,224
initial transfer,2,224
minimum taxable,2,224
nuclear decommissioning,2,224
single corporation,2,224
alternative minimum taxable,3,223
common trust,2,223
federal register,2,223
independent contractor,2,223
installment obligation,2,223
minimum taxable income,3,223
transferee foreign corporation,3,223
alternative minimum taxable income,4,222
current plan,2,222
foreign investment,2,222
selling price,2,222
surviving corporation,2,222
accounting method,2,221
covered debt,2,221
decedent's estate,2,221
foreign financial,2,221
income earned,2,221
income subject,2,221
tax amount,2,221
1986 foreign,2,220
gain deduction,2,220
post 1986 foreign,3,220
taxed income,2,220
1986 foreign income,3,219
1986 foreign income taxes,4,219
adjusted bases,2,219
compensation paid,2,219
post 1986 foreign income,4,219
post 1986 foreign income taxes,5,219
reduced rate,2,219
separate returns,2,219
stated redemption,2,219
capital expenditures,2,218
employment income,2,218
pre 1987,2,218
prior law,2,218
income determined,2,217
lease term,2,217
net operating loss carryovers,4,217
operating loss carryovers,3,217
property produced,2,217
trust income,2,217
amount subject,2,216
pooled income,2,216
private activity,2,216
qualified low,2,216
qualified low income,3,216
applicable tax,2,215
disbursements method,2,215
tax laws,2,215
business day,2,214
cfc1 stock,2,214
credit allowable,2,214
deferred foreign,2,214
economic effect,2,214
foreign currency gain,3,214
material advisor,2,214
period means,2,214
profits accumulated,2,214
qualified investments,2,214
carryover balance,2,213
deferred foreign income,3,213
due diligence,2,213
gross profit,2,213
owned foreign,2,213
periodic payments,2,213
business income,2,212
determining gain,2,212
foreign status,2,212
funding standard carryover balance,4,212
owns directly,2,212
production activities,2,212
research expenses,2,212
standard carryover balance,3,212
tax book,2,212
acquisition indebtedness,2,211
disregarded entity,2,211
excess business,2,211
gain property,2,211
highly compensated employee,3,211
p's basis,2,211
withholding exemption,2,211
annuity payments,2,210
carried forward,2,210
cost method,2,210
disc income,2,210
exempt recipient,2,210
financial institutions,2,210
net negative,2,210
owned subsidiary,2,210
partner's distributive,2,210
property holding,2,210
rollover distribution,2,210
stock bonus,2,210
time period,2,210
average compensation,2,209
combat zone,2,209
local government,2,209
net positive,2,209
partner's distributive share,3,209
profits attributable,2,209
retirement benefits,2,209
stated redemption price,3,209
bonds issued,2,208
business purpose,2,208
income gain deduction,3,208
percent owned,2,208
foreign acquiring,2,207
imported mismatch,2,207
manner consistent,2,207
operating losses,2,207
excess profits,2,206
mixed straddle,2,206
rental activity,2,206
rental income,2,206
controlled participants,2,204
eligible rollover distribution,3,204
qualified rehabilitation,2,204
similarly situated,2,204
sum payment,2,204
exempt purpose,2,203
governmental plan,2,203
inclusion amount,2,203
net operating losses,3,203
amount includible,2,202
individual retirement account,3,202
installment payments,2,202
limitation income,2,202
upper tier partnership,3,202
armed forces,2,201
benchmark plan,2,201
business expenses,2,201
eligible taxpayer,2,201
return period,2,201
shareholder's pro,2,201
shareholder's pro rata,3,201
synthetic equity,2,201
tax computed,2,201
transition period,2,201
u.s taxable,2,201
adjusted current,2,200
adjusted current earnings,3,200
administrative proceeding,2,200
agreement entered,2,200
capital gain property,3,200
net amount,2,200
normal cost,2,200
obligations issued,2,200
controlled foreign corporation's,3,199
domestic corporations,2,199
employee tax,2,199
matters partner,2,199
sale price,2,199
tax matters partner,3,199
zone business,2,199
advance credit,2,198
crude oil,2,198
foreign acquiring corporation,3,198
payment schedule,2,198
u.s trade,2,198
asset guideline class,3,197
capital loss carryover,3,197
covered health,2,197
covered health insurance,3,197
deemed asset,2,197
exempt income,2,197
exemption certificate,2,197
financing arrangement,2,197
income beneficiary,2,197
comparable uncontrolled,2,196
covered debt instrument,3,196
medical expenses,2,196
previously taxed earnings,3,196
purchase plan,2,196
real property holding,3,196
tax convention,2,196
tax required,2,196
taxed earnings,2,196
web site,2,196
welfare benefit,2,196
amount allocated,2,195
bona fide resident,3,195
donee spouse,2,195
fide resident,2,195
income housing,2,195
low income housing,3,195
net increase,2,195
nonqualified intermediary,2,195
passive foreign,2,195
reliably associate,2,195
consideration paid,2,194
discount rate,2,194
educational institution,2,194
fringe benefit,2,194
income community,2,194
low income community,3,194
lower tier partnership,3,194
substantial portion,2,194
depreciation allowance,2,193
exempt status,2,193
personal residence,2,193
railroad track,2,193
securities exchange,2,193
stock options,2,193
u.s source income,3,193
commissioner determines,2,192
gross income derived,3,192
individual income,2,192
taxpayer's income,2,192
unrelated persons,2,192
allocation method,2,191
intercompany transaction,2,191
readily tradable,2,191
2006 t.d,2,190
plan means,2,190
recognition period,2,190
shareholder's pro rata share,4,190
u.s persons,2,190
wholly owned subsidiary,3,190
benefit payable,2,189
district court,2,189
installment agreement,2,189
public offering,2,189
qualified health plan,3,189
remaining portion,2,189
stock acquired,2,189
additional amounts,2,188
attained age,2,188
building structure,2,188
business holdings,2,188
holding corporation,2,188
qualified export,2,188
total cost,2,188
applicable period,2,187
death benefits,2,187
income taxes paid,3,187
insurance policy,2,187
permitted disparity,2,187
trust assets,2,187
accumulated disc,2,186
accumulated disc income,3,186
percent limitation,2,186
replacement macrs,2,186
variable rate,2,186
credit limitation,2,185
economic performance,2,185
eligible entity,2,185
excess loss,2,185
stock issued,2,185
total contract price,3,185
dollar limitation,2,184
eligible employees,2,184
excluded cod,2,184
federal rate,2,184
foreign source income,3,184
gross income attributable,3,184
gst exemption,2,184
prohibited transaction,2,184
railroad retirement,2,184
rollover contribution,2,184
alternative method,2,183
constructive ownership,2,183
debt obligation,2,183
tax equal,2,183
direct labor,2,182
eligible retirement,2,182
incentive stock,2,182
percent compounded,2,182
single life,2,182
transition rules,2,182
unadjusted depreciable,2,182
voting level,2,182
annuity plan,2,181
class life,2,181
compounded annually,2,181
excluded cod income,3,181
expenditures paid,2,181
final determination,2,181
financed property,2,181
passive category income,3,181
settlement fund,2,181
substantially identical,2,181
tax attributes,2,181
trust corpus,2,181
excess business holdings,3,180
health insurance issuer,3,180
instrumentality thereof,2,180
insurance issuer,2,180
manufacturer producer,2,180
refund filed,2,180
regular tax,2,180
taxpayer's trade,2,180
willful neglect,2,180
withholding rate,2,180
account holders,2,179
applicable federal rate,3,179
applicable law,2,179
income fund,2,179
labor costs,2,179
lifo inventory,2,179
market values,2,179
mortality tables,2,179
penalty imposed,2,179
pooled income fund,3,179
property holding corporation,3,179
real property holding corporation,4,179
rental real,2,179
target corporation,2,179
unadjusted depreciable basis,3,179
agricultural labor,2,178
common trust fund,3,178
funding method,2,178
health insurance provider,3,178
installment payment,2,178
insurance provider,2,178
lower tier corporation,3,178
normal retirement benefit,3,178
rental real estate,3,178
tax return information,3,178
dual capacity,2,177
mineral property,2,177
natural resource,2,177
qualified stock purchase,3,177
single sum distribution,3,177
solid waste,2,177
expected return,2,176
income producing,2,176
international organization,2,176
property owned,2,176
qualified employer,2,176
qualified settlement,2,176
registered form,2,176
service costs,2,176
shipping operations,2,176
shortfall amortization,2,176
supporting organization,2,176
vintage account,2,176
alternative minimum tax,3,175
amounts payable,2,175
applicable dollar,2,175
intangible drilling,2,175
qualified residence,2,175
registered deemed,2,175
registered deemed compliant,3,175
required minimum,2,175
term capital gains,3,175
u.s tax purposes,3,175
amount allowed,2,174
arm's length result,3,174
company shipping operations,3,174
contributed property,2,174
decommissioning fund,2,174
fiscally transparent,2,174
length result,2,174
notional principal contract,3,174
nuclear decommissioning fund,3,174
original return,2,174
principal contract,2,174
reasonable time,2,174
replacement macrs property,3,174
tax avoidance,2,174
base company shipping operations,4,173
determined pursuant,2,173
exempt purposes,2,173
foreign base company shipping operations,5,173
forward contract,2,173
lobbying expenditures,2,173
property tax,2,173
qualified separate line,3,173
additional credit,2,172
adjusted depreciable,2,172
debt obligations,2,172
fair market values,3,172
federal government,2,172
opportunity zone business,3,172
pct payments,2,172
qualified opportunity zone business,4,172
receipts derived,2,172
uncontrolled transactions,2,172
covered health insurance provider,4,171
debt service,2,171
deductions allowable,2,171
fixed rent,2,171
law including,2,171
leased property,2,171
nonhighly compensated,2,171
passive foreign investment,3,171
tax resident,2,171
term foreign,2,171
unrelated party,2,171
adjusted depreciable basis,3,170
credit payments,2,170
election statement,2,170
employee stock ownership,3,170
generation skipping,2,170
loss share,2,170
mineral income,2,170
qualified offer,2,170
retirement system,2,170
stock basis,2,170
1.382 2t,2,169
advance credit payments,3,169
calendar months,2,169
defined benefit plans,3,169
eligible plan,2,169
forms instructions,2,169
gross receipts derived,3,169
profit sharing plan,3,169
sharing plan,2,169
u.s.c 7805,2,169
1254 costs,2,168
exempt organizations,2,168
foreign law,2,168
lifo method,2,168
pension benefit,2,168
publicly supported,2,168
win expenses,2,168
eligible retirement plan,3,167
income computed,2,167
investment companies,2,167
meaning set,2,167
moving expenses,2,167
property sold,2,167
public law,2,167
qualified film,2,167
subsidiary corporation,2,167
consolidated returns,2,166
debt financed,2,166
direct rollover,2,166
foreign entity,2,166
foreign persons,2,166
tier entity,2,166
applicable rules,2,165
de minimis exception,3,165
definitions apply,2,165
direct reporting,2,165
dividend received,2,165
indirect costs,2,165
liquidating corporation,2,165
minimis exception,2,165
nonrecourse liability,2,165
qualified trust,2,165
equity investment,2,164
foreign income taxes paid,4,164
separate entity,2,164
benefit accruals,2,163
excess loss account,3,163
foreign mineral,2,163
foreign mineral income,3,163
performs services,2,163
requesting spouse,2,163
special rules applicable,3,163
tax benefits,2,163
tax determined,2,163
washington dc,2,163
contribution base,2,162
stock entitled,2,162
u.s real property holding,4,162
amount attributable,2,161
amounts deferred,2,161
domestic owner,2,161
extraordinary disposition,2,161
individual income tax,3,161
purchasing corporation,2,161
source taxable,2,161
source taxable income,3,161
taxpayer's taxable,2,161
accrual rate,2,160
base amount,2,160
benefit payments,2,160
cdp notice,2,160
declining balance,2,160
deferral period,2,160
federal tax return,3,160
gift tax return,3,160
insurance reserves,2,160
net tax,2,160
post october,2,160
tax liabilities,2,160
term care,2,160
term united,2,160
corporate partner,2,159
depreciation method,2,159
federal tax lien,3,159
governing body,2,159
gross investment,2,159
gross investment income,3,159
highway vehicle,2,159
market discount,2,159
percent owner,2,159
price method,2,159
salary reduction,2,159
separate lines,2,159
unrecognized gain,2,159
closing agreement,2,158
election period,2,158
employee benefit,2,158
excess contribution,2,158
hypothetical account,2,158
inclusion ratio,2,158
legally binding,2,158
newly formed,2,158
rental period,2,158
u.s citizen,2,158
automatic extension,2,157
foreign surviving,2,157
gross tested,2,157
gross tested income,3,157
net proceeds,2,157
test period,2,157
adjustments required,2,156
amount means,2,156
controlled participant,2,156
exempt function,2,156
foreign earned,2,156
foreign earned income,3,156
health plans,2,156
lobbying communication,2,156
percent test,2,156
premiums paid,2,156
prior issue,2,156
ratable share,2,156
reporting requirement,2,156
service office,2,156
stated principal,2,156
subsidiary stock,2,156
tax principles,2,156
transferred stock,2,156
u.s dollars,2,156
amortization deduction,2,155
depreciation system,2,155
family coverage,2,155
financial assets,2,155
foreign investment company,3,155
grass roots lobbying,3,155
guaranteed payment,2,155
nonelective contributions,2,155
power plant,2,155
recapture amount,2,155
regularly traded,2,155
returns filed,2,155
roots lobbying,2,155
rules governing,2,155
sharing arrangement,2,155
valid election,2,155
aggregate fair,2,154
aggregate fair market,3,154
corporation means,2,154
internal revenue service center,4,154
limitation based,2,154
m's basis,2,154
possession product,2,154
required installments,2,154
revenue service center,3,154
attribute amount,2,153
benefit fund,2,153
educational organization,2,153
health coverage,2,153
net short term capital loss,5,153
ownership fraction,2,153
paid deduction,2,153
previously taxed income,3,153
qualified disclaimer,2,153
qualified settlement fund,3,153
revenue officer,2,153
shipping income,2,153
trade income,2,153
1986 earnings,2,152
