
> print_tibble(out_list)
[1] "pearson"
                pearson.term pearson.comparison pearson.estimate pearson.conf.low pearson.conf.high pearson.adj.p.value
22 Number.of.Training.Epochs                 8-2            0.0213           -0.0029             0.0456               0.1078
23 Number.of.Training.Epochs                5-20           -0.0144           -0.0277            -0.0011               0.0273
24 Number.of.Training.Epochs                8-20           -0.0768           -0.0966            -0.0569               0.0000
25 Number.of.Training.Epochs                 8-5           -0.0623           -0.0816            -0.0430               0.0000



[1] "analogy"
                analogy.term analogy.comparison analogy.estimate analogy.conf.low analogy.conf.high analogy.adj.p.value
1                 Stopwords.         True-False           2.0942           1.1459            3.0424              0.0000
2      References.Preserved.         True-False           0.0487          -0.9074            1.0048              0.9204
3         Training.Algorithm  Word2Vec-FastText           7.9708           7.1368            8.8047              0.0000
4                    Ngrams.         True-False           0.0812          -0.8750            1.0373              0.8677
5                 Dimensions            256-128          -1.7373          -3.3843           -0.0903              0.0341
6                 Dimensions             32-128           1.2311          -0.7484            3.2105              0.3789
7                 Dimensions             64-128           1.1719          -0.6607            3.0045              0.3536
8                 Dimensions             32-256           2.9684           1.1594            4.7773              0.0002
9                 Dimensions             64-256           2.9092           1.2622            4.5562              0.0000
10                Dimensions              64-32          -0.0592          -2.0386            1.9203              0.9998
11                    Window               20-2          -0.7576          -2.4488            0.9337              0.5447
12                    Window                8-2          -0.2952          -1.9014            1.3110              0.9025
13                    Window               8-20           0.4623          -0.8130            1.7377              0.6714
14   Minimum.Count.Threshold              20-10           1.2022          -0.6558            3.0602              0.3429
15   Minimum.Count.Threshold               5-10           1.1775          -0.6805            3.0355              0.3617
16   Minimum.Count.Threshold              50-10           3.0303           0.9002            5.1604              0.0015
17   Minimum.Count.Threshold               5-20          -0.0247          -1.5633            1.5139              1.0000
18   Minimum.Count.Threshold              50-20           1.8281          -0.0299            3.6861              0.0557
19   Minimum.Count.Threshold               50-5           1.8528          -0.0052            3.7108              0.0510
20 Number.of.Training.Epochs               20-2          -4.9006          -6.9844           -2.8167              0.0000
21 Number.of.Training.Epochs                5-2          -1.1364          -3.1675            0.8947              0.4749
22 Number.of.Training.Epochs                8-2          -3.6222          -6.1744           -1.0700              0.0016
23 Number.of.Training.Epochs               5-20           3.7642           2.3663            5.1621              0.0000
24 Number.of.Training.Epochs               8-20           1.2784          -0.8055            3.3623              0.3914
25 Number.of.Training.Epochs                8-5          -2.4858          -4.5169           -0.4547              0.0091




> sink()
